,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Manchester-City-Fc,0,-17,-19,0,-2,-11,-1,-1,-4,0,-19,0,0,-1,-19,-18,-19,-18,-13,-19,0,-1,-1,-19,-17,-18,-4,-9,-14,-9,-16,-9,-9,-16,-16,-17,-15,-11,-19,0,-7,0
1,Manchester-United-Fc,0,-2,-17,0,-10,-1,1,1,1,0,-12,-3,-2,1,-15,-13,-14,-3,-14,-13,-3,-2,-8,-15,-7,-11,-7,-1,-3,-1,-11,-13,-9,-16,-11,-14,-7,-13,-7,-11,0,-2
2,Chelsea-Fc,-2,-2,-15,0,-12,-13,-7,-8,-11,-5,-16,-6,-2,-3,-16,-15,-12,-14,-10,-2,0,0,-1,-13,-3,-1,-8,-3,-14,-11,0,-6,-13,-8,-16,-1,-14,-3,-9,0,-3,-2
3,Liverpool,0,-5,-13,0,-2,-6,-5,-6,-2,1,-13,-3,1,0,-8,-16,-14,-16,-16,-8,2,3,3,-15,-8,-8,0,-1,-5,0,-15,-14,-13,-12,0,-8,0,-9,-6,-10,0,-9
4,Leicester-City-Fc,2,-12,-11,0,3,4,-6,-2,3,1,-6,2,3,-3,-6,-8,-7,-1,-13,-9,-1,-3,-2,-9,-8,-12,3,-8,-11,-6,1,-6,1,2,-13,-10,-3,4,-13,-3,-7,-12
5,West-Ham-United,0,-6,-9,0,-3,4,3,-2,-4,-1,-4,2,0,1,-1,-3,-5,-8,-3,-10,-9,-3,-6,-7,-9,-10,-2,-2,5,0,1,-2,-2,-6,-6,-8,-5,-13,2,-6,-11,-8
6,Tottenham-Hotspur-Fc,0,-4,-7,0,3,0,3,-10,-1,2,-9,5,0,-2,-7,-4,-6,-2,-4,5,-2,-5,-8,-2,0,6,6,6,-6,-6,-1,5,-11,-8,0,-12,4,5,-6,5,-7,-3
7,Everton-Fc,-2,-2,-5,0,-8,-10,-9,-8,-7,-3,-7,0,-5,-5,-5,1,-11,0,-2,0,-6,-7,-6,3,4,1,1,-3,0,-9,-1,5,3,-11,6,5,-4,-10,6,-3,7,-12
8,Arsenal,1,-5,-3,0,-4,1,-3,-10,-4,-1,-9,-3,0,6,-1,-8,-8,-6,8,8,2,-2,0,-6,8,-5,6,7,-2,0,3,-4,-3,2,1,-2,3,5,2,3,6,7
9,Leeds-United-Afc,1,-9,0,0,0,5,5,7,6,4,3,0,2,3,-6,-2,3,3,-5,3,6,4,7,3,7,4,4,6,-9,3,3,-9,9,6,7,8,9,-4,-6,-5,-10,-5
10,Aston-Villa-Fc,0,-5,2,0,0,7,-4,-3,-1,2,-1,5,-1,1,-7,5,1,9,8,-7,-2,6,5,0,3,3,-3,4,7,-1,-9,-1,-9,-9,-9,6,-9,-6,0,-9,-4,-8
11,Wolverhampton,0,6,4,0,-7,-5,-4,-3,-5,-4,3,-3,-2,-6,4,-4,6,0,-5,3,0,2,4,0,-4,7,-6,-5,-2,10,2,-2,-1,-2,-3,6,-2,1,4,3,1,-4
12,Crystal-Palace-Fc,0,0,6,0,8,4,6,8,2,-1,10,-3,-2,-1,9,8,10,3,1,-4,-5,-5,-6,7,-4,3,-4,-2,11,-6,-1,-4,11,5,8,-7,-5,4,-1,9,-3,4
13,Southampton-Fc,0,-1,9,0,7,3,6,10,11,2,12,0,4,3,8,10,12,-2,8,1,6,0,3,6,4,5,4,5,8,-1,-1,-2,0,5,-2,4,4,-6,13,-4,-4,11
14,Newcastle-United-Fc,0,8,9,0,14,2,2,6,6,2,10,2,4,3,12,13,7,11,8,9,-4,-1,-3,11,13,13,3,1,8,10,4,11,6,13,6,6,2,7,9,10,8,9
15,Brighton-Amp-Hov,-1,15,5,0,-1,2,-2,3,-2,1,3,5,0,1,1,2,2,3,14,12,6,9,11,-2,2,1,3,4,6,15,-2,10,1,6,10,3,9,6,11,-1,6,5
16,Burnley-Fc,1,9,13,0,-1,2,3,5,1,-1,11,0,0,0,8,7,13,-1,-2,-2,1,0,4,14,12,-3,-2,-3,5,-3,16,-3,-2,11,7,10,-2,1,0,-2,-2,9
17,Fulham,-1,16,15,0,4,-2,-1,-2,-2,-1,10,-1,-1,-1,13,10,9,15,13,15,7,5,1,8,-2,15,3,0,15,2,2,17,15,13,7,1,3,11,15,2,13,0
18,West-Bromwich,-1,16,17,0,11,13,13,13,12,2,18,1,1,3,17,18,18,8,15,8,-1,0,-1,18,0,1,3,3,1,11,17,14,13,6,5,11,14,14,4,9,6,7
19,Sheffield-United,2,0,19,0,0,1,0,2,1,0,16,0,0,0,19,17,15,19,12,10,3,0,4,18,9,9,0,1,0,2,8,13,13,19,19,19,18,17,1,13,11,13
