,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,0,-16,-17,0,-2,0,0,0,0,0,-14,0,0,0,-13,-13,-13,-17,-2,-12,0,0,0,-17,0,-16,-1,-2,-12,-1,-15,-14,-9,-17,-3,-3,-12,-2,-15,-2,-6,-5
1,Rb-Leipzig,-1,-12,-13,0,-14,-10,-10,-7,-12,-4,-16,-3,-3,-3,-16,-16,-13,-11,-14,0,-2,0,-1,-15,-14,-9,-5,0,-13,-11,-12,1,1,-15,-1,-12,-5,1,-12,-4,1,-12
2,Borussia-Dortmund,1,-15,-9,0,1,1,-2,0,0,1,-10,1,1,1,-13,-4,-13,-14,-12,-9,0,0,-3,-12,-2,-13,-9,-1,-3,-4,-14,-1,-4,-12,-7,-7,-7,-12,-2,-7,1,-13
3,Wolfsburg,0,-1,-13,0,-6,-7,-9,-12,-5,-1,-13,-2,1,-4,-13,-11,-13,-10,-1,-12,-3,0,-3,0,-8,-11,-1,3,3,-7,-8,-1,-12,-1,-4,-14,-14,-9,-2,-14,-11,-11
4,Eintracht-Frankfurt,0,3,-11,0,4,-1,2,0,3,2,-3,2,1,2,2,-8,-6,4,-7,-9,0,-2,3,-1,-9,2,1,-1,2,-1,-4,-6,-1,-1,0,-8,-11,-6,3,-3,-6,-13
5,Bayer-Leverkusen,0,0,-7,0,-9,-4,-11,-9,-9,-2,-10,-6,-4,0,-6,-10,-12,-6,-11,-11,4,-2,2,-10,-2,-12,-5,-2,-11,-3,-4,-8,1,-4,-7,-2,-3,0,-12,-1,-4,-2
6,1-Fc-Union-Berlin,-3,6,-7,0,-2,-7,-4,-10,-4,-4,-7,-1,-2,-5,-3,-10,-6,-8,-3,0,-7,-3,-4,-7,-6,2,-1,-2,0,3,-1,-9,-8,0,-11,2,-10,5,-4,-6,-6,2
7,Borussia-Monchengla,-1,1,-3,0,2,5,6,6,4,4,4,4,1,4,-1,6,-2,-3,-1,-2,-1,2,3,-5,-7,1,5,1,3,-4,6,5,-6,5,-9,-9,-3,1,-2,-1,4,6
8,Sc-Freiburg,1,0,0,0,4,2,0,-5,1,0,-3,-2,1,-1,1,-3,0,0,-9,6,-2,-3,-5,-3,-8,8,8,4,1,8,5,-9,-8,-5,2,-7,3,1,5,-6,-8,2
9,Stuttgart,3,0,0,0,6,2,4,6,4,3,4,3,4,-1,6,1,7,3,3,9,2,5,2,2,8,8,4,0,-4,-4,9,0,-3,6,9,8,7,-2,2,-6,4,-2
10,Tsg-1899-Hoffenheim,0,3,3,0,4,6,4,5,4,1,4,2,0,4,4,6,3,7,9,-4,5,2,2,0,7,-3,2,0,0,-5,-4,5,7,3,0,5,6,-7,4,7,-3,0
11,Mainz-Amat,-1,1,6,0,-5,-3,4,2,0,-1,9,-1,-1,-1,7,6,5,2,1,8,-6,-1,-1,3,3,3,2,0,10,-3,1,-1,1,3,6,1,-2,3,11,1,0,9
12,Fc-Augsburg,1,-3,9,0,2,-3,-1,-5,-4,-1,2,-1,-2,-1,2,9,1,10,12,2,-4,-3,-3,10,-5,9,-3,0,3,8,7,6,5,-3,-1,-2,9,8,-2,1,5,4
13,Hertha-Bsc,0,11,7,0,2,1,-1,3,1,2,4,-1,2,5,1,3,9,9,8,9,4,3,4,7,3,6,1,0,-2,-3,11,-3,2,12,-1,5,13,0,1,12,-4,13
14,Arminia-Bielefeld,0,2,12,0,-3,-2,-3,3,-3,-3,6,-2,-3,-1,0,7,11,-1,2,6,0,-2,-3,13,5,3,1,-2,11,12,10,6,-3,3,-1,3,0,5,12,-2,-1,11
15,Werder-Bremen,-1,12,11,0,3,-2,0,3,0,1,11,6,0,1,10,6,10,10,12,8,0,2,-1,11,10,6,1,-2,4,6,-2,14,7,3,4,9,14,0,4,2,11,6
16,1-Fc-Koln,1,5,15,0,3,8,7,10,7,1,15,1,3,0,15,14,15,9,3,11,4,2,5,7,14,11,0,2,8,-1,4,5,15,16,15,14,5,13,8,16,8,0
17,Schalke-04,0,3,17,0,10,14,14,10,13,1,17,0,1,0,17,17,17,16,10,0,6,0,3,17,11,5,0,2,0,10,11,10,15,7,9,17,10,1,1,13,15,5
