id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Real-Madrid,72.97,18.92,8.11,2.38,67.57,51.35,29.73,10.81,2.51,1.89,0.62,83.78,62.16,29.73,48.65,13.51,0.0,2.16,0.11,3.14,58.95,14.0,5.11,4.0,0.14,0.32,0.54,0.46,73.4,0.3,0.19,0.38,0.16,0.05,0.03,0.05,0.24,1.43,1.41,1.46,1.05,1.08
1,Barcelona,64.86,16.22,18.92,2.11,75.68,62.16,45.95,27.03,3.24,2.19,1.05,83.78,62.16,32.43,62.16,37.84,5.41,2.51,0.16,3.22,67.03,12.24,4.97,3.62,0.08,0.41,0.35,0.3,68.77,0.24,0.11,0.19,0.22,0.08,0.14,0.11,0.84,1.11,1.16,1.43,1.43,0.73
2,Atletico-Madrid,51.35,37.84,10.81,1.92,64.86,29.73,18.92,8.11,2.08,1.38,0.7,75.68,40.54,16.22,54.05,16.22,0.0,2.49,0.08,3.35,48.84,11.27,4.76,4.68,0.08,0.57,0.38,0.24,66.85,0.7,0.08,0.62,0.11,0.22,0.08,0.03,1.08,1.41,0.84,1.59,1.22,1.03
3,Sevilla,48.65,35.14,16.22,1.81,75.68,37.84,18.92,8.11,2.35,1.43,0.92,89.19,43.24,10.81,56.76,27.03,5.41,2.62,0.03,3.49,58.14,11.97,5.81,3.7,0.19,0.57,0.41,0.27,68.05,0.35,0.22,0.41,0.35,0.05,0.0,0.08,0.73,1.51,1.16,1.16,1.0,1.05
4,Villarreal,43.24,18.92,37.84,1.49,78.38,67.57,32.43,10.81,2.95,1.59,1.35,91.89,40.54,16.22,70.27,45.95,13.51,2.0,0.03,3.57,52.86,11.7,3.95,5.65,0.08,0.41,0.46,0.38,68.47,0.3,0.16,0.51,0.08,0.05,0.16,0.11,0.68,1.38,1.32,1.32,0.73,1.24
5,Real-Sociedad,43.24,18.92,37.84,1.49,81.08,62.16,24.32,10.81,2.78,1.49,1.3,81.08,43.24,18.92,78.38,37.84,13.51,2.05,0.05,3.35,55.95,10.38,4.76,3.81,0.14,0.49,0.43,0.27,68.76,0.24,0.11,0.22,0.19,0.16,0.11,0.08,0.73,1.24,1.27,1.78,1.0,1.08
6,Granada,40.54,21.62,37.84,1.43,72.97,48.65,16.22,8.11,2.51,1.3,1.22,72.97,40.54,13.51,67.57,37.84,10.81,2.92,0.03,3.46,44.16,9.92,4.22,4.65,0.22,0.86,0.38,0.24,66.73,0.22,0.41,0.43,0.16,0.27,0.05,0.11,1.05,1.32,0.97,1.49,1.22,1.22
7,Getafe,37.84,32.43,29.73,1.46,67.57,35.14,13.51,5.41,2.14,1.16,0.97,64.86,29.73,16.22,59.46,27.03,10.81,3.54,0.19,3.38,44.32,9.89,4.62,3.35,0.08,0.95,0.3,0.27,71.2,0.43,0.03,0.27,0.05,0.68,0.3,0.05,0.76,1.08,1.49,1.27,0.81,1.03
8,Valencia-Cf,37.84,27.03,35.14,1.41,81.08,45.95,21.62,10.81,2.7,1.24,1.46,78.38,37.84,5.41,78.38,37.84,21.62,2.11,0.22,3.43,49.16,8.43,4.46,4.68,0.32,0.41,0.32,0.22,68.71,0.38,0.08,0.46,0.08,0.11,0.14,0.19,0.62,1.46,1.16,1.46,1.03,1.43
9,Osasuna,35.14,29.73,35.14,1.35,72.97,48.65,29.73,16.22,2.65,1.19,1.46,67.57,35.14,10.81,70.27,43.24,21.62,2.81,0.16,3.49,47.51,11.3,4.62,4.62,0.22,0.76,0.24,0.14,69.19,0.41,0.14,0.24,0.14,0.14,0.05,0.14,0.62,1.24,1.49,1.41,1.32,1.27
