,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,0,-16,-17,0,0,0,0,-1,-1,0,-17,0,0,0,-17,-15,-17,-16,-2,-10,0,0,0,-17,-13,-16,0,0,-11,-4,-11,-4,-3,-11,-9,-10,-7,0,-15,-9,-7,-11
1,Borussia-Dortmund,0,-16,-11,0,-2,0,0,1,1,0,-7,0,0,0,-5,-5,-6,-5,-9,-11,0,-5,-3,-12,1,-10,-3,-2,-4,-13,-11,-6,0,-2,1,-8,-13,-6,-6,0,-8,-13
2,Bayer-Leverkusen,0,-8,-14,0,-6,-1,0,0,0,0,-10,0,0,0,-9,-11,-13,-1,-1,-3,-4,-2,0,-13,-5,-1,1,1,2,-6,1,-12,-14,-7,-13,-3,-15,-8,2,-14,-4,-2
3,Rb-Leipzig,0,-10,-8,0,-3,-6,-3,0,-2,0,-13,-1,-3,0,-12,-14,-11,-12,-13,0,1,-7,-5,-13,-14,-4,1,-2,-12,-14,-13,-10,-1,-10,2,-12,1,1,-13,1,3,-13
4,Sc-Freiburg,-1,0,-11,0,-1,-2,-8,-3,-4,-1,-9,-1,-1,0,-9,-8,-6,-13,-11,2,-6,-1,-2,-3,-7,-13,1,-2,3,-1,1,2,-10,2,-9,-13,-5,-2,2,-13,-12,-3
5,1-Fc-Union-Berlin,1,-2,-9,0,-9,-6,-9,-11,-10,-4,-10,-3,1,-6,-5,-11,-8,-3,-7,-1,-9,-8,-10,-7,-5,-7,0,3,3,-4,-12,-1,-7,-5,-9,-6,-11,4,1,2,-12,-4
6,1-Fc-Koln,0,3,-7,0,-4,-4,3,-6,-3,0,-4,0,-2,1,6,-8,-6,2,-5,5,3,4,-1,1,-6,6,-1,-3,2,5,2,5,4,-10,-2,-1,-6,-2,5,-8,-2,-4
7,Tsg-1899-Hoffenheim,-1,-2,-2,0,6,5,3,-2,4,3,3,-2,4,1,-2,5,4,7,-6,3,3,0,4,-7,-1,6,1,-9,-7,-9,5,2,-1,0,-3,-1,4,4,-7,0,6,-1
8,Mainz-Amat,1,-3,1,0,-3,0,-5,-5,-5,0,-6,1,-2,1,-6,-3,-1,-1,8,0,-5,5,3,-3,-6,-7,-1,4,5,1,-7,-9,-3,-4,5,-6,-3,-5,5,-4,6,-9
9,Bochum,-1,-3,3,0,-8,-6,-8,-6,-7,-5,0,-7,-3,-4,2,2,-2,-5,2,-4,-2,-3,-8,5,-7,-5,-1,-6,3,-4,-1,-1,4,-6,-3,-7,3,-3,0,3,-2,7
10,Borussia-Monchengla,-1,5,2,0,6,3,5,4,6,3,8,7,3,2,8,1,5,8,1,-7,5,9,1,2,8,0,2,2,2,-2,2,2,-7,10,-1,9,-5,-7,-1,5,0,-3
11,Wolfsburg,2,-4,9,0,-1,-2,2,-3,0,0,5,-2,0,-1,-5,7,7,0,10,-4,4,0,1,5,5,6,-6,-3,-1,8,5,0,1,10,9,-2,6,0,-2,3,-2,5
12,Eintracht-Frankfurt,0,10,2,0,3,-4,-4,2,-2,2,1,0,3,3,9,4,-4,5,4,1,3,4,11,2,3,-1,-4,0,-1,2,-2,12,6,7,6,8,8,-4,4,8,8,-3
13,Fc-Augsburg,0,5,9,0,-2,1,2,8,1,0,8,2,-1,-2,1,3,12,12,-1,13,-3,-1,1,11,10,11,0,6,-3,7,13,-3,4,5,8,10,13,9,3,3,-2,13
14,Hertha-Bsc,0,0,13,0,12,10,4,3,7,-1,13,4,-1,0,10,13,12,4,9,7,-1,-1,0,13,9,8,3,3,-3,12,5,11,14,8,10,12,13,9,-3,14,11,9
15,Stuttgart,0,14,10,0,8,1,7,11,5,3,12,1,2,5,14,12,7,10,9,-1,7,6,2,6,14,11,1,5,5,15,10,3,0,11,8,15,2,1,3,0,3,12
16,Arminia-Bielefeld,0,16,13,0,0,-1,1,-1,-1,-1,9,-1,0,-1,8,11,10,3,12,7,-1,0,5,16,12,7,4,3,7,5,9,1,3,-1,-1,10,8,7,11,5,2,15
17,Greuther-Furth,0,11,17,0,4,12,10,9,11,1,17,2,0,1,12,17,17,5,0,3,5,0,1,14,2,9,2,0,10,2,4,8,10,3,1,5,7,2,11,4,12,5
