id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,72.73,12.12,15.15,2.3,90.91,81.82,63.64,39.39,3.94,2.88,1.06,100.0,69.7,57.58,66.67,30.3,6.06,1.03,0.06,4.33,60.97,19.76,6.15,3.18,0.12,0.36,0.97,0.73,69.87,0.55,0.15,0.64,0.27,0.09,0.12,0.12,0.64,2.09,1.48,1.36,1.03,0.82
1,Borussia-Dortmund,63.64,9.09,27.27,2.0,90.91,75.76,57.58,42.42,4.06,2.52,1.55,96.97,69.7,48.48,78.79,42.42,21.21,1.91,0.03,4.18,56.33,13.39,5.42,4.36,0.36,0.39,0.79,0.45,71.96,0.21,0.15,0.52,0.39,0.33,0.33,0.15,0.52,1.73,1.79,1.91,1.0,0.64
2,Bayer-Leverkusen,54.55,21.21,24.24,1.85,84.85,66.67,54.55,33.33,3.76,2.36,1.39,87.88,66.67,39.39,75.76,36.36,12.12,1.94,0.06,4.52,52.42,13.45,5.7,4.12,0.24,0.67,0.97,0.58,73.54,0.33,0.39,0.27,0.06,0.15,0.06,0.15,0.24,1.67,2.45,1.03,1.09,1.09
3,Rb-Leipzig,51.52,18.18,30.3,1.73,84.85,57.58,42.42,27.27,3.24,2.15,1.09,84.85,48.48,36.36,69.7,24.24,12.12,1.45,0.0,4.55,54.27,12.64,4.73,3.76,0.06,0.61,0.94,0.42,68.25,0.18,0.06,0.33,0.27,0.09,0.27,0.09,1.12,1.88,1.45,1.67,1.85,0.55
4,1-Fc-Union-Berlin,45.45,27.27,27.27,1.64,75.76,51.52,27.27,12.12,2.7,1.42,1.27,75.76,51.52,9.09,75.76,27.27,12.12,1.82,0.03,4.52,44.39,11.67,4.15,4.39,0.18,0.39,0.76,0.52,73.13,0.3,0.0,0.52,0.09,0.15,0.06,0.12,0.3,2.0,2.09,1.67,0.7,0.91
5,Sc-Freiburg,45.45,30.3,24.24,1.67,84.85,63.64,30.3,24.24,3.06,1.73,1.33,81.82,51.52,27.27,69.7,36.36,15.15,0.94,0.0,4.61,49.52,13.45,5.21,5.12,0.15,0.21,0.79,0.42,73.28,0.48,0.3,0.79,0.06,0.33,0.06,0.0,0.64,1.76,2.21,1.0,0.76,0.97
6,1-Fc-Koln,42.42,30.3,27.27,1.58,78.79,51.52,48.48,18.18,2.97,1.55,1.42,78.79,42.42,27.27,87.88,33.33,12.12,1.94,0.03,4.64,54.21,13.55,5.18,5.18,0.15,0.88,0.64,0.39,72.13,0.64,0.3,0.85,0.33,0.06,0.15,0.15,0.55,1.7,2.24,1.15,1.0,0.91
7,Mainz-Amat,39.39,18.18,42.42,1.36,78.79,57.58,30.3,15.15,2.76,1.45,1.3,78.79,36.36,21.21,69.7,36.36,15.15,1.82,0.12,4.39,46.45,13.55,5.27,4.61,0.12,0.36,0.55,0.45,72.86,0.36,0.09,0.06,0.09,0.09,0.21,0.09,0.55,1.61,2.15,1.24,1.33,0.39
8,Tsg-1899-Hoffenheim,39.39,21.21,39.39,1.39,90.91,66.67,45.45,21.21,3.39,1.73,1.67,75.76,57.58,21.21,75.76,54.55,27.27,2.21,0.0,4.55,53.36,13.24,5.7,4.3,0.24,0.82,0.7,0.18,69.07,0.18,0.39,0.52,0.18,0.27,0.12,0.15,1.03,1.82,1.55,1.39,1.36,0.94
9,Borussia-Monchengla,33.33,27.27,39.39,1.27,90.91,60.61,45.45,24.24,3.3,1.48,1.82,84.85,42.42,18.18,84.85,42.42,27.27,2.0,0.03,3.42,52.48,14.39,4.52,5.06,0.3,0.48,0.55,0.39,70.96,0.21,0.18,0.48,0.06,0.48,0.09,0.21,0.39,1.18,1.64,1.48,0.97,0.73
10,Eintracht-Frankfurt,30.3,33.33,36.36,1.24,81.82,42.42,24.24,21.21,2.73,1.3,1.42,69.7,39.39,12.12,84.85,42.42,9.09,1.85,0.03,4.21,49.94,13.24,5.76,4.7,0.21,0.36,0.33,0.33,69.46,0.27,0.12,0.91,0.24,0.3,0.18,0.15,0.94,1.33,1.79,1.61,1.18,0.55
11,Wolfsburg,36.36,15.15,48.48,1.24,78.79,48.48,36.36,15.15,2.82,1.24,1.58,69.7,33.33,9.09,66.67,51.52,27.27,1.79,0.09,4.06,50.82,12.42,4.39,5.12,0.3,0.64,0.3,0.3,69.84,0.58,0.21,0.42,0.15,0.36,0.21,0.09,0.76,1.67,1.55,1.36,0.88,1.0
12,Bochum,36.36,18.18,45.45,1.27,72.73,45.45,18.18,12.12,2.58,1.09,1.48,60.61,33.33,9.09,78.79,42.42,15.15,1.61,0.06,4.12,47.27,12.27,3.82,5.45,0.09,0.36,0.48,0.27,71.6,0.21,0.15,0.45,0.27,0.06,0.06,0.03,0.7,1.64,1.76,1.45,0.91,1.18
13,Fc-Augsburg,27.27,24.24,48.48,1.06,75.76,51.52,33.33,24.24,2.79,1.12,1.67,72.73,30.3,6.06,72.73,39.39,33.33,2.18,0.0,4.94,43.55,11.3,4.3,5.76,0.3,0.73,0.36,0.42,68.12,0.36,0.42,0.18,0.18,0.24,0.18,0.18,1.24,1.79,1.73,1.3,0.82,1.36
14,Stuttgart,18.18,36.36,45.45,0.91,84.85,48.48,39.39,24.24,2.94,1.18,1.76,66.67,33.33,12.12,87.88,51.52,21.21,1.91,0.06,3.97,50.7,12.7,4.24,4.94,0.36,0.67,0.36,0.36,69.9,0.82,0.27,0.39,0.06,0.3,0.15,0.24,0.55,1.58,1.61,1.15,0.91,1.12
15,Hertha-Bsc,27.27,18.18,54.55,1.0,90.91,63.64,36.36,21.21,3.18,1.09,2.09,75.76,24.24,9.09,81.82,60.61,30.3,1.79,0.06,4.45,43.97,10.73,4.21,5.79,0.3,0.64,0.42,0.36,66.74,0.61,0.15,0.76,0.64,0.27,0.18,0.21,1.15,1.76,1.33,1.97,1.3,1.06
16,Arminia-Bielefeld,15.15,36.36,48.48,0.82,75.76,39.39,27.27,0.0,2.36,0.79,1.58,60.61,18.18,0.0,78.79,45.45,24.24,1.64,0.06,4.36,42.42,10.52,4.39,5.79,0.3,0.48,0.39,0.33,69.97,0.24,0.21,0.27,0.09,0.06,0.03,0.15,0.64,1.7,1.88,1.3,0.85,1.21
17,Greuther-Furth,9.09,27.27,63.64,0.55,78.79,63.64,42.42,24.24,3.24,0.82,2.42,66.67,12.12,3.03,81.82,63.64,45.45,1.76,0.0,4.06,46.91,9.24,4.03,5.55,0.12,0.58,0.36,0.12,71.16,0.21,0.15,0.48,0.21,0.09,0.06,0.12,0.58,1.52,1.85,1.21,1.15,0.76
