nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
M. Diakhaby,Pablo Gozálbez,Defensa,Centrocampista,70,0,0,0,0
André Almeida,Javi Guerra,Centrocampista,Centrocampista,56,0,0,0,0
Diego López,Jesús Vázquez,Delantero,Defensa,70,0,0,0,0
Fran Pérez,D. Foulquier,Delantero,Defensa,82,0,0,0,0
Hugo Duro,Hugo González,Delantero,Delantero,82,0,0,1,0
Gabriel Paulista,Sergi Canós,Defensa,Delantero,75,0,0,1,0
M. Diakhaby,André Almeida,Defensa,Centrocampista,46,0,0,0,1
Diego López,C. Mosquera,Delantero,Defensa,75,0,0,0,0
Fran Pérez,D. Foulquier,Delantero,Defensa,58,0,0,0,0
José Gayà,S. Amallah,Defensa,Centrocampista,70,0,0,0,0
Thierry Correia,Hugo Guillamón,Defensa,Centrocampista,83,0,1,0,0
André Almeida,Cenk Özkacar,Centrocampista,Defensa,70,0,0,0,0
Sergi Canós,Diego López,Delantero,Delantero,59,0,0,1,0
Hugo Duro,César Tárrega,Delantero,Defensa,83,2,0,0,0
José Gayà,Gabriel Paulista,Defensa,Defensa,55,0,0,1,0
Thierry Correia,C. Mosquera,Defensa,Defensa,46,0,0,0,0
Diego López,R. Yaremchuk,Delantero,Delantero,74,0,0,0,0
Fran Pérez,André Almeida,Delantero,Centrocampista,55,0,0,0,0
Thierry Correia,R. Yaremchuk,Defensa,Delantero,75,0,0,0,0
S. Amallah,Hugo Guillamón,Centrocampista,Centrocampista,65,0,1,0,0
Diego López,Hugo González,Delantero,Delantero,84,0,0,0,0
Fran Pérez,Pablo Gozálbez,Delantero,Centrocampista,84,0,0,0,0
Hugo Duro,D. Foulquier,Delantero,Defensa,75,1,0,0,0
C. Mosquera,R. Yaremchuk,Defensa,Delantero,89,0,0,0,0
Pepelu,Yarek,Centrocampista,Defensa,89,1,0,0,0
S. Amallah,Sergi Canós,Centrocampista,Delantero,24,0,0,1,0
Hugo Duro,D. Foulquier,Delantero,Defensa,73,0,0,0,0
Sergi Canós,Hugo Guillamón,Delantero,Centrocampista,24,0,0,0,0
José Gayà,Yarek,Defensa,Defensa,46,0,0,1,0
Sergi Canós,S. Amallah,Delantero,Centrocampista,64,0,0,0,0
Fran Pérez,Hugo Guillamón,Delantero,Centrocampista,84,0,0,0,0
Hugo Duro,R. Yaremchuk,Delantero,Delantero,84,0,0,0,0
Diego López,D. Foulquier,Delantero,Defensa,92,0,0,0,0
Jesús Vázquez,Yarek,Defensa,Defensa,81,0,0,0,0
Diego López,Alberto Marí,Delantero,Delantero,81,0,1,0,0
Fran Pérez,S. Amallah,Delantero,Centrocampista,72,0,0,0,1
Hugo Duro,D. Foulquier,Delantero,Defensa,81,0,0,0,0
R. Yaremchuk,Sergi Canós,Delantero,Delantero,62,0,0,0,0
José Gayà,Jesús Vázquez,Defensa,Defensa,78,0,1,0,1
Sergi Canós,Diego López,Delantero,Delantero,69,0,0,0,0
Fran Pérez,Alberto Marí,Delantero,Delantero,86,0,0,0,0
R. Yaremchuk,Javi Guerra,Delantero,Centrocampista,70,1,0,0,0
Hugo Duro,Yarek,Delantero,Defensa,86,0,0,0,0
Sergi Canós,R. Yaremchuk,Delantero,Delantero,14,0,0,1,0
Fran Pérez,Thierry Correia,Delantero,Defensa,69,0,0,0,0
Diego López,Javi Guerra,Delantero,Centrocampista,82,0,0,0,0
R. Yaremchuk,Jesús Vázquez,Delantero,Defensa,14,0,0,0,0
Javi Guerra,Alberto Marí,Centrocampista,Delantero,70,0,0,0,1
Diego López,Fran Pérez,Delantero,Delantero,61,0,1,1,0
R. Yaremchuk,Jesús Vázquez,Delantero,Defensa,70,1,0,0,1
Hugo Duro,S. Amallah,Delantero,Centrocampista,92,1,0,0,0
Hugo Guillamón,Alberto Marí,Centrocampista,Delantero,86,0,0,0,0
Sergi Canós,Peter,Delantero,Delantero,64,0,0,0,0
Fran Pérez,Javi Guerra,Delantero,Centrocampista,73,0,0,0,0
R. Yaremchuk,Jesús Vázquez,Delantero,Defensa,73,0,0,0,0
M. Diakhaby,Cenk Özkacar,Defensa,Defensa,89,0,0,1,1
Javi Guerra,S. Amallah,Centrocampista,Centrocampista,73,0,0,0,0
Sergi Canós,Hugo Guillamón,Delantero,Centrocampista,57,0,0,0,0
Fran Pérez,Peter,Delantero,Delantero,73,0,1,0,0
R. Yaremchuk,Diego López,Delantero,Delantero,57,1,0,0,1
Javi Guerra,Thierry Correia,Centrocampista,Defensa,84,0,0,0,0
Sergi Canós,Peter,Delantero,Delantero,59,0,1,0,0
Fran Pérez,Diego López,Delantero,Delantero,59,0,0,0,0
R. Yaremchuk,Hugo Guillamón,Delantero,Centrocampista,71,0,0,0,0
Hugo Duro,S. Amallah,Delantero,Centrocampista,84,1,0,0,0
D. Foulquier,Javi Guerra,Defensa,Centrocampista,65,0,0,0,0
Hugo Guillamón,S. Amallah,Centrocampista,Centrocampista,80,0,0,0,0
Peter,Jesús Vázquez,Delantero,Defensa,65,0,0,0,0
Fran Pérez,Alberto Marí,Delantero,Delantero,80,0,0,0,0
R. Yaremchuk,Diego López,Delantero,Delantero,17,0,0,1,0
