,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Atletico-Madrid,0,-16,-19,0,-10,-9,-15,-10,-11,-1,-19,-3,-1,-4,-19,-19,-19,-4,-19,-15,-7,-2,-5,-10,-15,-11,-2,-1,-18,0,-8,-2,-17,-18,-5,-18,-2,-10,-18,-14,-7,-13
1,Real-Madrid,0,-14,-17,0,-8,-6,-6,-5,-8,-1,-17,0,-1,0,-17,-17,-17,-18,-12,-18,-1,0,1,-12,-5,-18,-8,-7,-15,-6,-16,-16,-17,-10,-8,-3,-17,-5,-18,-8,-5,-8
2,Barcelona,0,-15,-15,0,0,2,2,2,2,2,-14,2,2,2,-14,-10,-15,-13,-14,-9,2,2,1,-16,-6,-10,-2,-5,-12,-16,-17,-4,-3,-6,2,-14,-11,-2,-14,-13,-7,-16
3,Sevilla,0,-16,-13,0,-15,-13,-14,-10,-13,-3,-14,-1,-4,-3,-14,-14,-13,-9,-11,3,2,0,-5,-9,-6,-5,-5,-6,-2,2,-2,-9,3,-6,-1,-8,-4,-4,3,-10,-5,-7
4,Real-Sociedad,0,-7,-10,0,-7,-2,-5,2,-2,0,-11,2,-4,2,-11,-12,-11,-5,-14,1,0,-2,0,-15,-14,4,4,4,-4,-6,-14,-11,-4,-9,-6,-10,-11,4,-3,3,-1,2
5,Betis,0,-9,-8,0,-2,-10,-5,1,-2,-3,-5,-3,1,-8,-9,-6,1,-2,4,-7,0,1,-1,-9,-11,-9,-14,-11,-7,-9,-11,4,-11,-14,-14,-2,-6,-6,-10,-12,-7,2
6,Villarreal,0,4,-9,0,6,4,2,-10,2,3,-7,1,3,3,-4,-7,-8,-11,1,-3,3,-1,-4,-9,3,-4,5,4,-4,-13,-4,-4,4,2,-8,-2,2,-8,3,-5,-10,-1
7,Celta,0,-3,-5,0,6,3,6,2,5,2,1,-2,2,2,-1,-1,2,6,1,-11,1,-9,-11,-1,7,-6,1,2,-4,5,-2,-7,0,-7,-4,7,-9,-10,-7,-12,-8,-12
8,Athletic-Bilbao,-3,7,-3,0,-7,-3,-8,-6,-7,-2,-6,-2,-2,-4,-1,-6,-5,0,-4,4,-2,0,6,-3,3,-8,1,-2,-5,-3,-3,3,-11,-2,-8,-7,0,7,-4,5,7,-4
9,Granada,1,-9,5,0,6,8,7,6,8,0,9,3,0,-5,4,9,8,4,6,4,-9,-6,-8,5,8,3,4,-4,-10,-7,-3,1,6,4,-8,-3,9,-3,-8,5,7,4
10,Osasuna,0,1,0,0,-3,-4,5,-8,-7,-2,-1,-7,-2,-1,-2,5,3,-1,6,4,-6,-2,-9,4,3,5,-1,4,7,7,-5,1,-5,-6,2,9,-9,8,8,2,10,2
11,Cadiz,2,-1,5,0,-3,3,3,-1,1,-3,10,-4,-2,-5,0,2,11,-2,2,9,-8,-7,0,11,9,4,-1,-6,-6,-6,4,0,1,4,4,6,10,2,2,4,-2,5
12,Valencia-Cf,0,5,3,0,6,9,9,5,9,5,4,5,6,4,10,11,2,2,5,-2,-1,3,3,10,8,-5,-5,-2,12,0,-1,12,1,-5,6,6,-5,-4,8,-6,9,-2
13,Levante,0,10,5,0,9,1,1,4,8,2,8,2,2,4,12,6,2,-3,-4,12,5,2,6,8,-4,9,10,9,11,5,13,10,7,-2,10,-6,1,10,12,13,9,-4
14,Alaves,-1,6,9,0,2,9,8,6,6,1,12,2,0,-3,7,10,12,12,14,4,-1,-3,-1,13,4,12,4,2,10,1,10,-4,1,2,-4,5,8,1,9,-2,-4,10
15,Getafe,1,2,12,0,-4,-3,-3,0,-4,-4,3,-4,0,5,2,0,9,15,13,-2,-2,1,1,-1,1,14,-3,4,14,0,1,2,3,15,14,2,5,-4,7,10,-2,-1
16,Elche,0,10,14,0,8,6,3,-3,2,-1,12,3,-1,-2,13,14,13,13,6,3,4,-3,0,9,4,7,1,1,1,12,13,-3,2,13,1,14,13,-2,3,4,-3,15
