,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,0,-17,-16,0,0,0,0,0,0,0,-17,0,0,0,-16,-17,-17,-14,-7,-17,0,0,0,-17,-16,-14,-2,-1,-10,0,-10,-4,-6,-17,-1,-13,-10,-5,-14,-17,-3,-13
1,Borussia-Dortmund,0,-10,-14,0,-9,-4,0,-1,0,0,-14,0,0,-1,-16,-13,-10,-15,-15,-13,-1,-7,-2,-15,-4,-15,1,1,-1,-1,0,-7,-2,-12,-10,-5,-13,-13,-1,-8,-4,-11
2,Rb-Leipzig,-2,2,-15,0,1,-5,0,-1,0,0,-14,0,0,1,-13,-14,-14,-13,-8,-3,-1,1,-2,-11,-12,-15,1,-2,-13,-5,-11,-9,-5,-14,0,-14,1,-1,-15,-10,0,-14
3,Borussia-Monchengla,1,-12,-11,0,-11,-1,-4,-5,-8,0,-11,-3,0,0,-4,-12,-12,-2,-6,-5,-1,-2,-3,-9,1,-3,0,1,-1,2,-3,-3,-6,-12,-3,3,-12,-13,2,-8,-1,-7
4,Bayer-Leverkusen,1,-9,-9,0,-2,-6,-5,-1,-4,0,-8,0,-1,0,-10,-9,-9,-9,4,-3,3,1,3,-11,-2,-11,-8,1,-12,-7,-8,3,-6,-6,-3,1,-1,0,-12,-2,-2,-2
5,Tsg-1899-Hoffenheim,0,-3,-6,0,-2,-4,-10,-4,-7,-2,-5,-7,-2,0,-3,-7,-4,-5,-9,-1,0,-4,-2,2,-7,5,-9,-5,-12,-10,0,3,0,1,2,-5,5,-3,-10,2,-7,3
6,Wolfsburg,0,3,-6,0,-7,-11,-10,-7,-11,-2,-7,-5,-3,0,-6,-5,-8,-3,-2,-10,-2,2,-4,-4,-9,-4,-4,-3,6,-11,-5,-11,-11,0,-10,-8,-7,-1,0,-4,-11,6
7,Sc-Freiburg,0,3,-2,0,-9,-8,-6,-10,-9,-4,-4,-3,-1,-6,1,-3,-5,-10,-5,-3,-3,0,-5,7,3,-6,3,-7,2,1,4,-5,-7,-2,-1,3,1,-5,0,-9,-7,2
8,Eintracht-Frankfurt,0,-2,3,0,4,7,0,2,5,3,2,3,4,1,5,3,-2,1,5,-4,2,6,6,-6,-9,-4,-3,-9,-1,-4,-6,-5,-5,-6,-4,-4,0,-7,5,8,7,-7
9,Hertha-Bsc,-1,3,1,0,-6,6,3,-6,-1,0,1,-4,3,-2,-4,2,3,5,7,-4,-4,-8,-8,3,2,0,4,2,-4,-7,9,-7,-3,8,-8,7,2,-1,-3,7,0,5
10,Schalke-04,-3,8,0,0,-1,-2,-7,0,-5,-4,1,-6,-4,-2,-1,2,2,-1,-3,-5,3,-5,-3,3,9,-1,1,2,3,5,1,-5,10,3,-3,2,6,-7,5,-3,2,3
11,1-Fc-Union-Berlin,0,-3,7,0,8,-5,-3,-5,-3,-2,4,3,-2,-5,1,7,4,3,10,2,-5,-3,-4,3,-2,3,-5,-1,5,1,7,4,-5,6,-4,-4,0,9,1,4,-5,0
12,Mainz-Amat,3,-4,10,0,0,6,7,1,7,2,9,-3,2,3,8,3,9,6,6,10,-3,6,4,10,3,8,-5,-4,0,-1,5,-2,8,9,7,3,9,6,3,11,-1,9
13,1-Fc-Koln,1,1,10,0,11,11,10,1,9,7,9,10,2,5,8,11,8,11,8,12,2,1,4,9,13,12,5,8,-1,5,-3,3,5,11,13,12,11,0,5,9,6,-1
14,Fc-Augsburg,0,9,7,0,6,1,4,10,7,2,9,7,2,4,5,8,10,2,-1,3,-3,-2,-2,5,6,7,8,-1,11,10,12,11,13,2,5,3,2,5,10,6,4,6
15,Fortuna-Dusseldorf,-1,14,9,0,10,4,4,1,2,-1,13,1,-1,0,15,12,14,12,-2,11,1,2,1,4,5,10,0,4,7,1,7,6,13,4,11,-2,-2,15,2,1,15,-2
16,Werder-Bremen,1,7,15,0,-1,8,12,9,7,1,15,-1,1,2,15,16,14,15,12,13,7,5,5,11,13,13,9,10,15,7,-1,16,5,16,2,11,0,5,16,11,5,7
17,Paderborn,0,10,17,0,8,3,5,16,11,0,17,8,0,0,15,16,17,17,6,17,5,7,12,16,6,15,4,4,6,14,2,12,2,9,7,10,8,16,6,2,2,16
