id_equipo,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Bayern-Munchen,69.7,18.18,12.12,2.27,90.91,78.79,60.61,45.45,4.12,2.85,1.27,100.0,72.73,51.52,72.73,36.36,15.15,1.3,0.09,4.0,59.18,17.21,6.82,3.52,0.39,0.39,0.79,0.64,69.39,0.7,0.06,0.3,0.21,0.03,0.36,0.21,0.55,1.88,1.36,1.7,1.09,1.12
1,Rb-Leipzig,57.58,24.24,18.18,1.97,72.73,54.55,30.3,15.15,2.7,1.79,0.91,87.88,57.58,27.27,54.55,24.24,12.12,1.7,0.0,4.45,56.73,15.3,5.55,3.52,0.09,0.52,0.61,0.67,68.6,0.27,0.09,1.27,0.55,0.09,0.39,0.06,0.82,2.0,1.58,1.42,1.85,0.79
2,Borussia-Dortmund,57.58,12.12,30.3,1.85,96.97,72.73,45.45,24.24,3.55,2.18,1.36,96.97,69.7,36.36,66.67,45.45,12.12,1.36,0.03,4.06,57.97,14.33,5.18,3.67,0.24,0.39,0.39,0.61,72.18,0.39,0.03,0.61,0.27,0.12,0.18,0.12,0.73,1.24,1.97,1.27,1.82,0.52
3,Wolfsburg,51.52,30.3,18.18,1.85,81.82,54.55,27.27,12.12,2.82,1.79,1.03,84.85,60.61,21.21,57.58,33.33,9.09,1.7,0.09,3.7,51.88,13.88,5.12,5.18,0.15,0.39,0.64,0.7,75.96,0.3,0.12,0.58,0.09,0.33,0.21,0.03,0.33,1.39,1.94,0.94,0.82,0.76
4,Eintracht-Frankfurt,45.45,36.36,18.18,1.73,100.0,63.64,45.45,21.21,3.58,2.0,1.58,93.94,60.61,30.3,87.88,36.36,21.21,2.45,0.03,3.97,52.64,13.06,5.97,4.79,0.12,0.73,0.67,0.48,73.34,0.45,0.15,0.45,0.3,0.3,0.33,0.06,0.39,1.45,2.06,1.33,0.91,0.39
5,Bayer-Leverkusen,42.42,30.3,27.27,1.58,72.73,54.55,24.24,12.12,2.67,1.58,1.09,72.73,39.39,27.27,72.73,30.3,6.06,1.76,0.0,3.58,58.15,12.94,5.39,3.58,0.18,0.36,0.48,0.39,67.58,0.33,0.12,0.36,0.33,0.21,0.09,0.12,0.76,1.64,1.06,1.36,1.03,1.03
6,1-Fc-Union-Berlin,33.33,42.42,24.24,1.42,81.82,48.48,30.3,9.09,2.73,1.45,1.27,81.82,39.39,15.15,78.79,27.27,15.15,1.67,0.06,4.27,45.27,11.79,4.03,4.18,0.12,0.7,0.58,0.36,71.83,0.55,0.15,0.3,0.09,0.3,0.03,0.18,0.36,1.91,1.82,1.09,0.85,1.15
7,Borussia-Monchengla,36.36,30.3,33.33,1.39,84.85,69.7,48.48,30.3,3.45,1.82,1.64,87.88,48.48,30.3,78.79,51.52,21.21,1.79,0.06,4.15,50.64,13.12,5.21,4.18,0.09,0.61,0.76,0.45,72.38,0.27,0.24,0.76,0.09,0.42,0.06,0.03,0.7,1.58,1.85,1.3,1.33,1.27
8,Stuttgart,36.36,27.27,36.36,1.36,87.88,60.61,42.42,24.24,3.3,1.7,1.61,84.85,51.52,15.15,84.85,42.42,24.24,1.94,0.06,4.55,50.79,13.33,4.61,4.73,0.3,0.79,0.64,0.36,69.04,0.24,0.39,0.48,0.09,0.39,0.48,0.27,0.97,1.42,1.88,1.0,1.18,0.94
9,Sc-Freiburg,36.36,27.27,36.36,1.36,87.88,63.64,36.36,15.15,3.03,1.55,1.48,72.73,48.48,18.18,81.82,39.39,21.21,1.91,0.0,4.42,47.52,11.09,3.7,4.33,0.09,0.79,0.85,0.52,71.42,0.76,0.21,0.21,0.06,0.12,0.24,0.06,0.82,1.58,1.97,1.03,0.73,1.09
