,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Barcelona,0,-14,-19,0,0,-7,-1,-2,-1,0,-17,0,0,0,-18,-16,-17,-19,-14,-11,0,-1,-4,-15,-16,-14,-5,-3,-12,-3,-13,-2,-2,-19,-7,-13,-5,-15,-10,-19,0,-12
1,Atletico-Madrid,0,-14,-17,0,-6,-18,-15,-9,-13,-2,-18,0,-3,-2,-18,-16,-15,-7,-8,-18,-8,-12,-2,-11,-13,-14,0,-5,-18,-4,-3,-2,-3,-5,-9,-3,1,-17,-18,-3,-3,-8
2,Real-Madrid,0,-17,-12,0,0,0,-2,2,0,1,-8,0,1,1,-13,-5,-9,-13,-1,-3,0,2,0,-17,-2,-9,-2,0,-13,-10,-3,-14,2,-11,-10,-7,0,-11,-11,2,0,-16
3,Sevilla,0,-14,-10,0,-2,-8,-5,0,-3,1,-11,-11,0,1,-11,-11,-10,-2,-1,-9,-1,1,3,-8,2,2,-3,-6,-13,-7,-12,-12,-14,2,-8,1,-5,0,-13,0,-12,-12
4,Valencia-Cf,-1,4,-13,0,-10,-12,-11,-9,-13,-2,-12,-8,-6,-1,-12,-15,-14,-8,-7,-14,-10,-1,-3,-10,-1,-12,-4,-1,-13,-5,-12,-1,-1,-14,-12,3,-8,-5,-13,-7,1,4
5,Getafe,1,3,-11,0,1,-12,-14,-14,-13,-3,-13,-6,-1,-4,-12,-13,-14,1,3,3,-14,-13,-10,-11,-13,-2,-2,4,-2,1,-1,-13,-1,0,5,0,-6,-3,-1,-7,-11,-8
6,Athletic-Bilbao,-1,5,-9,0,-5,-7,-5,-3,-6,-6,-6,-2,-6,-7,-4,-7,-3,5,0,-9,-2,-11,-10,-12,6,1,-3,-7,1,0,5,-5,-10,-11,-2,-5,-9,-5,3,-7,5,-8
7,Espanyol,1,-1,-5,0,1,-3,2,-7,-1,-2,0,4,-1,-5,1,-2,2,-4,-9,4,0,1,-4,1,-3,-2,-6,7,4,-10,-12,-1,0,-8,-2,-3,-10,0,5,-1,-6,0
8,Real-Sociedad,0,-1,-3,0,-9,2,-1,-7,-3,-2,-5,-5,3,0,1,-4,-7,-8,1,-6,2,-8,-2,-2,-3,-11,-3,-3,-3,-10,5,-1,-3,1,3,2,2,-8,-4,3,1,0
9,Alaves,-1,2,0,0,-1,-3,-8,-9,-6,-7,0,-8,-8,-8,4,-2,1,0,-9,5,-9,-3,-8,9,-4,-9,-8,1,9,1,0,-10,-9,-5,-9,-7,-7,7,5,-6,-1,3
10,Betis,1,-6,6,0,-6,2,-2,4,1,-3,6,1,-6,0,-1,4,8,0,-7,1,9,-1,1,3,-2,-2,-9,-9,-4,-5,-4,4,0,10,4,7,0,10,-5,-4,2,9
11,Eibar,0,8,1,0,-4,2,-2,-5,1,0,0,1,-2,4,3,3,-1,-7,-4,10,8,8,10,-6,9,-6,9,-6,2,9,-1,-6,-1,1,9,-7,7,-1,4,1,-7,9
