,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Liverpool,0,-19,-19,0,-1,-1,-3,-9,-2,-1,-19,0,0,-1,-17,-19,-17,-19,-16,-1,-1,-2,-1,-16,-6,-18,-3,-2,-3,0,-9,-13,-14,-19,-5,-8,-19,-4,-1,-18,-4,-13
1,Manchester-City-Fc,0,-17,-14,0,1,1,1,1,1,1,-14,0,0,1,-18,-13,-12,-9,-1,-5,1,1,1,-18,-13,-8,-1,1,-15,-6,-10,0,-9,-16,-11,-10,0,-2,-14,1,0,-2
2,Manchester-United-Fc,-2,-2,-16,0,0,-14,-12,-12,-8,-2,-16,-6,-1,0,-11,-14,-17,-3,-17,0,-2,-2,-4,-11,-16,0,2,1,-2,0,-4,-5,-1,-11,-4,-17,-1,-7,-1,-7,-5,-17
3,Leicester-City-Fc,0,-7,-13,0,-4,-3,-8,-1,-4,1,-13,-3,-1,-1,-13,-15,-9,-15,-8,-10,0,0,-1,-12,-14,-14,-8,-4,-10,-10,3,-14,-12,-3,-16,-7,-6,-3,-11,-14,-5,-4
4,Chelsea-Fc,2,-13,-7,0,-2,2,2,3,3,1,-4,-1,2,1,1,-3,-7,-11,-14,-5,2,3,2,-14,-1,-12,3,-2,-8,-12,-11,-4,-7,-10,-9,-1,-8,4,-8,1,-2,-1
5,Wolverhampton,-1,4,-12,0,-7,-12,-12,-1,-12,-1,-9,2,-1,-2,-10,-10,-13,-9,-5,-13,-5,-1,-6,-12,-3,-10,1,-8,3,-6,3,-10,-4,-5,-5,-11,-8,-13,-5,-9,-14,-7
6,Tottenham-Hotspur-Fc,1,-2,-8,0,3,3,1,1,2,1,-7,4,1,1,-3,-6,-10,5,-2,1,1,-4,-2,-5,-10,6,-2,1,-5,0,2,-3,2,3,6,-9,4,-4,1,4,1,-2
7,Sheffield-United,-1,4,-6,0,-11,-12,-12,-12,-12,-6,-10,-6,-7,-2,-7,-10,-7,-5,-2,-7,-6,-12,2,-2,-6,-7,-3,-11,-8,-11,-7,-4,-10,0,4,-11,3,5,-10,-12,-9,-2
8,Burnley-Fc,1,-1,-2,0,-5,-6,-10,-4,-8,-3,-4,-1,-3,-2,-10,-5,-1,-1,-9,-11,-10,-10,-9,1,-2,-11,-1,-7,1,-7,5,-11,3,0,-3,-4,-8,-11,-11,-8,-10,-2
9,Arsenal,-2,7,-3,0,0,0,3,-7,0,2,-2,2,2,1,-1,5,-6,9,9,5,3,-5,6,4,6,4,3,5,-5,8,2,-5,-10,7,2,5,4,-3,5,5,-1,8
10,Everton-Fc,1,4,1,0,-4,-2,2,7,-1,0,1,0,1,-1,5,0,4,6,4,3,1,3,0,-4,10,0,-5,2,-9,5,5,7,9,-1,-6,10,4,3,-6,-3,10,-6
11,Southampton-Fc,1,-2,5,0,6,3,1,-4,5,2,6,7,1,-4,3,5,3,-6,10,-1,0,6,4,5,-8,-2,6,1,10,1,1,-7,-5,6,2,-6,-3,-3,9,-1,-6,9
12,Crystal-Palace-Fc,0,1,7,0,-5,-6,-4,-6,-6,-6,2,-5,-1,-7,0,1,2,-1,0,-5,0,-5,-2,8,1,1,-4,-4,7,0,-6,0,10,0,11,5,-5,-4,3,1,-1,-3
13,Newcastle-United-Fc,0,6,6,0,-6,2,6,5,-1,-3,7,-2,-4,-3,2,5,8,5,8,5,-6,-2,-6,12,12,6,0,2,7,-4,12,8,0,9,9,12,-5,5,7,12,1,-1
14,West-Ham-United,0,2,10,0,10,4,13,12,11,6,10,3,6,8,10,12,10,3,0,-2,-2,3,5,6,5,6,7,5,4,10,2,8,7,-1,-3,0,7,1,3,4,-1,3
15,Brighton-Amp-Hov,-1,15,7,0,5,0,2,2,0,1,8,1,-3,2,8,6,8,-1,2,15,8,6,0,5,0,9,3,1,6,12,7,13,15,14,7,2,15,10,8,7,12,11
16,Aston-Villa-Fc,1,2,14,0,8,11,7,9,11,4,15,4,4,-2,14,15,15,10,1,5,1,8,4,13,14,12,-3,4,-1,7,0,6,-2,0,1,14,5,5,3,9,7,10
17,Watford-Fc,-1,12,14,0,6,10,2,0,5,0,14,-1,1,3,11,12,17,15,14,7,0,5,-1,5,10,14,3,14,9,3,4,13,9,-1,3,14,7,2,9,12,6,0
18,Afc-Bournemouth,1,3,17,0,3,14,14,8,10,3,16,2,3,6,17,15,16,15,14,3,4,2,5,16,14,6,1,-1,0,10,-1,2,6,9,0,12,10,17,0,12,4,18
19,Norwich-City-Fc,0,3,19,0,3,6,7,8,6,0,19,0,0,2,19,19,16,12,12,16,11,6,3,19,7,18,1,2,19,0,2,19,13,19,17,10,4,2,19,4,17,1
