,nombre,porcentaje ganados en general,porcentaje empatados en general,porcentaje perdidos en general,proporcion puntos en general,"porcentaje mas 1,5 en general","porcentaje mas 2,5 en general","porcentaje mas 3,5 en general","porcentaje mas 4,5 en general",proporcion goles totales en general,proporcion goles marcados en general,proporcion goles encajados en general,"porcentaje mas 0,5 marcados en general","porcentaje mas 1,5 marcados en general","porcentaje mas 2,5 marcados en general","porcentaje mas 0,5 encajados en general","porcentaje mas 1,5 encajados en general","porcentaje mas 2,5 encajados en general",proporcion amarillas en general,proporcion rojas en general,proporcion cambios en general,proporcion posesion en general,proporcion total tiros en general,proporcion corners a favor en general,proporcion corners en contra en general,proporcion cambios lesionados en general,proporcion cambios amarillas en general,proporcion cambios goleadores en general,proporcion cambios asistentes en general,media cambios minutos en general,proporcion cambios delanteros a centrocampistas en general,proporcion cambios delanteros a defensas en general,proporcion cambios centrocampistas a delanteros en general,proporcion cambios centrocampistas a defensas en general,proporcion cambios defensas a delanteros en general,proporcion cambios defensas a centrocampistas en general,proporcion cambios antes descanso en general,proporcion cambios 45 a 60 en general,proporcion cambios 61 a 75 en general,proporcion cambios 76 a final en general,proporcion cambios alineacion defensa en general,proporcion cambios alineacion centrocampista en general,proporcion cambios alineacion delantero en general
0,Liverpool,0,-14,-19,0,-5,-4,-5,-2,-3,0,-19,-1,0,0,-18,-19,-18,-19,-9,0,-2,-2,-1,-18,-4,-18,-3,-9,-10,-1,-10,-15,-11,-15,-3,-14,-10,-1,-7,-13,-2,-15
1,Manchester-City-Fc,0,-17,-17,0,-8,-4,-3,-5,-3,0,-17,1,0,0,-18,-17,-18,-17,-17,-3,1,1,1,-18,-6,-18,1,1,-10,-5,-6,-6,-4,-13,-7,-12,-5,-2,-11,-2,-2,-1
2,Chelsea-Fc,-1,1,-15,0,-2,-7,-9,-12,-9,-3,-14,-4,0,-2,-15,-15,-14,-15,-17,1,1,1,0,-15,2,-15,-3,0,-12,-10,-3,-17,-17,-14,-16,0,-12,2,-11,-17,-8,-1
3,Tottenham-Hotspur-Fc,1,-16,-10,0,-14,-4,-9,-10,-7,-1,-14,-1,-2,1,-12,-13,-14,-9,-4,-10,0,0,-8,-9,0,-2,1,2,2,1,-3,-5,2,0,2,-5,-15,-16,3,3,-4,-8
4,Arsenal,0,-2,-12,0,3,-2,3,3,3,2,-6,2,1,-1,-3,-11,-2,2,-4,2,0,-6,0,-9,3,-5,-4,-4,-15,4,-15,0,-8,-8,4,0,4,0,-15,-3,4,-10
5,Manchester-United-Fc,0,-2,-10,0,5,5,5,1,5,2,-2,2,1,-1,3,-6,-2,2,2,2,0,0,-4,-9,-3,5,4,0,-7,2,-8,0,-1,-5,0,-13,1,0,-4,4,4,-3
6,Wolverhampton,0,3,-8,0,-5,-13,-12,-13,-11,-5,-9,-4,-6,-6,-4,-8,-9,0,-7,-2,-5,-3,-1,-5,-13,-5,0,2,3,-4,-2,-10,-2,-1,-5,-13,-1,-2,0,-10,-13,-11
7,Everton-Fc,0,-1,-5,0,-8,-7,-3,-10,-8,0,-7,-2,1,-4,-9,-5,-5,-9,3,1,1,1,4,-8,-9,5,-3,-3,5,3,-7,7,4,-6,-6,2,-8,0,5,-2,1,-11
8,Leicester-City-Fc,0,-7,-1,0,-4,-3,-8,-4,-5,-1,-5,3,-2,-2,-1,-5,-3,1,8,1,1,4,3,-2,-7,-4,1,2,-1,-8,8,5,-2,7,-4,-1,0,-1,4,3,-8,-1
9,Watford-Fc,0,4,-2,0,6,8,-6,-1,1,1,1,1,0,0,3,-1,0,9,3,-6,-3,-6,-5,1,-5,-5,0,-3,1,0,-7,0,9,1,-10,2,0,-6,-1,-1,-2,-4
