nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
A. Christensen,Ez Abde,Defensa,Delantero,46,0,0,0,0
Oriol Romeu,Lamine Yamal,Centrocampista,Delantero,76,0,0,0,0
Pedri,Gavi,Centrocampista,Centrocampista,79,0,0,0,0
İ. Gündoğan,Ansu Fati,Centrocampista,Delantero,79,0,0,0,0
A. Christensen,Eric García,Defensa,Defensa,46,0,0,0,0
Oriol Romeu,Ferran Torres,Centrocampista,Delantero,63,0,0,0,0
İ. Gündoğan,Fermín López,Centrocampista,Centrocampista,86,0,0,0,0
Lamine Yamal,Ansu Fati,Delantero,Delantero,76,0,1,0,1
A. Christensen,Raphinha,Defensa,Delantero,91,0,0,0,0
Sergi Roberto,João Cancelo,Centrocampista,Defensa,59,0,0,0,0
Oriol Romeu,João Félix,Centrocampista,Delantero,80,0,0,0,0
R. Lewandowski,Íñigo Martínez,Delantero,Defensa,91,1,0,0,1
Lamine Yamal,Ferran Torres,Delantero,Delantero,59,0,0,0,0
Íñigo Martínez,Jules Koundé,Defensa,Defensa,78,0,0,0,0
Oriol Romeu,Lamine Yamal,Centrocampista,Delantero,64,0,0,0,1
João Félix,Fermín López,Delantero,Centrocampista,64,0,0,0,0
Ferran Torres,R. Lewandowski,Delantero,Delantero,58,0,0,0,0
Jules Koundé,Ronald Araujo,Defensa,Defensa,44,0,0,1,0
Fermín López,Sergi Roberto,Centrocampista,Centrocampista,61,0,0,0,0
Lamine Yamal,Oriol Romeu,Delantero,Centrocampista,76,1,0,0,0
João Cancelo,Lamine Yamal,Defensa,Delantero,69,0,0,0,0
Fermín López,Ferran Torres,Centrocampista,Delantero,57,0,0,0,0
João Félix,Raphinha,Delantero,Delantero,69,0,0,0,1
R. Lewandowski,Pedri,Delantero,Centrocampista,57,0,0,0,0
Oriol Romeu,João Félix,Centrocampista,Delantero,55,0,0,0,1
Pedri,Raphinha,Centrocampista,Delantero,75,0,0,0,1
Ferran Torres,İ. Gündoğan,Delantero,Centrocampista,55,0,0,0,0
Lamine Yamal,Fermín López,Delantero,Centrocampista,75,0,0,0,0
