nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
R. De Paul,R. Riquelme,Centrocampista,Delantero,80,0,0,0,0
Thomas Lemar,Á. Morata,Centrocampista,Delantero,64,0,0,0,0
M. Llorente,Pablo Barrios,Centrocampista,Centrocampista,46,0,0,0,0
Y. Carrasco,Samuel Lino,Delantero,Delantero,65,0,0,0,0
Memphis,Saúl,Delantero,Centrocampista,64,0,0,0,0
Pablo Barrios,C. Söyüncü,Centrocampista,Defensa,76,0,0,0,1
R. De Paul,M. Llorente,Centrocampista,Centrocampista,68,0,2,0,0
Y. Carrasco,Samuel Lino,Delantero,Delantero,68,0,0,0,0
Memphis,Á. Morata,Delantero,Delantero,35,1,0,1,0
A. Griezmann,Ángel Correa,Delantero,Delantero,76,1,0,0,1
Stefan Savić,Ángel Correa,Defensa,Delantero,46,0,0,0,0
M. Hermoso,Saúl,Defensa,Centrocampista,61,0,0,0,1
Thomas Lemar,Javi Galán,Centrocampista,Defensa,43,0,0,1,0
R. Riquelme,Nahuel Molina,Delantero,Defensa,46,0,0,0,0
A. Griezmann,J. Giménez,Delantero,Defensa,61,0,0,0,1
Nahuel Molina,C. Azpilicueta,Defensa,Defensa,61,0,0,0,0
M. Llorente,R. Riquelme,Centrocampista,Delantero,67,0,0,0,0
Saúl,Ángel Correa,Centrocampista,Delantero,57,0,0,0,1
Pablo Barrios,Nahuel Molina,Centrocampista,Defensa,46,0,0,0,0
M. Llorente,R. De Paul,Centrocampista,Centrocampista,57,0,0,0,0
Samuel Lino,R. Riquelme,Delantero,Delantero,46,0,0,1,0
A. Griezmann,C. Söyüncü,Delantero,Defensa,76,3,0,0,0
Axel Witsel,J. Giménez,Defensa,Defensa,65,0,0,0,0
Nahuel Molina,Javi Galán,Defensa,Defensa,76,0,0,0,0
Koke,Ángel Correa,Centrocampista,Delantero,60,0,0,0,0
R. De Paul,Saúl,Centrocampista,Centrocampista,66,0,0,0,1
A. Griezmann,M. Llorente,Delantero,Centrocampista,60,0,0,0,0
