id_dato_jugador_partido,id_jugador,id_partido,amarilla,roja,lesion,cambio,asistencias,goles,sustituido_por
2555,159,57,0,0,0,-1,1,1,-1
2556,158,57,0,0,0,71,0,0,143
2557,134,57,0,0,0,-1,0,0,-1
2558,143,57,0,0,0,71,0,0,-1
2559,139,57,0,0,0,-1,0,0,-1
2560,140,57,0,0,0,82,0,0,-1
2561,153,57,0,0,0,-1,0,0,-1
2562,145,57,0,0,0,-1,0,0,-1
2563,146,57,0,0,0,-1,0,0,-1
2564,147,57,0,0,0,82,0,0,-1
2565,149,57,0,0,0,64,0,0,-1
2566,157,57,0,0,0,71,0,0,-1
2567,155,57,0,0,0,-1,0,0,-1
2568,161,57,0,0,0,-1,0,0,-1
3104,163,70,0,0,0,-1,0,0,-1
3105,177,70,0,0,1,62,0,1,193
3106,170,70,1,0,0,-1,0,0,-1
3107,176,70,0,0,1,25,0,0,168
3108,169,70,0,0,0,-1,0,0,-1
3109,182,70,1,0,0,81,0,0,178
3110,181,70,0,0,0,-1,1,0,-1
3111,179,70,0,0,0,-1,0,0,-1
3112,186,70,0,0,0,62,0,0,175
3113,195,70,0,0,0,-1,0,1,-1
3114,196,70,0,0,0,61,1,0,189
3115,165,70,0,0,0,-1,0,0,-1
3116,162,70,0,0,0,-1,0,0,-1
3117,175,70,0,0,0,62,0,0,-1
3118,166,70,0,0,0,-1,0,0,-1
3119,168,70,0,0,0,25,0,0,-1
3120,183,70,0,0,0,-1,0,0,-1
3121,178,70,0,0,0,81,0,0,-1
3122,185,70,0,0,0,-1,0,0,-1
3123,698,70,0,0,0,-1,0,0,-1
3124,189,70,0,0,0,61,0,0,-1
3125,193,70,0,0,0,62,0,1,-1
3126,191,70,0,0,0,-1,0,0,-1
3127,135,70,0,0,0,-1,0,0,-1
3128,143,70,0,0,0,-1,0,0,-1
3129,137,70,1,0,0,75,0,0,136
3130,144,70,0,0,0,-1,0,0,-1
3131,141,70,0,0,0,-1,0,0,-1
3132,147,70,0,0,0,-1,0,0,-1
3133,145,70,1,0,0,72,0,0,146
3134,149,70,0,0,0,71,0,0,161
3135,160,70,0,0,0,63,0,0,156
3136,159,70,0,0,0,-1,0,0,-1
3137,158,70,0,0,0,46,0,0,157
3138,134,70,0,0,0,-1,0,0,-1
3139,139,70,0,0,0,-1,0,0,-1
3140,140,70,0,0,0,-1,0,0,-1
3141,136,70,0,0,0,75,0,0,-1
3142,151,70,0,0,0,-1,0,0,-1
3143,146,70,0,0,0,72,0,0,-1
3144,161,70,0,0,0,71,0,0,-1
3145,157,70,0,0,0,46,0,0,-1
3146,155,70,0,0,0,-1,0,0,-1
3147,156,70,0,0,0,63,0,0,-1
4071,40,92,0,0,0,-1,0,0,-1
4072,44,92,0,0,0,-1,0,0,-1
4073,41,92,0,0,0,60,0,0,64
4074,42,92,0,0,0,79,0,0,65
4075,45,92,0,0,0,-1,0,0,-1
4076,57,92,1,0,0,60,0,0,50
4077,55,92,0,0,0,-1,0,0,-1
4078,54,92,1,0,0,-1,0,0,-1
4079,53,92,0,0,0,79,0,0,47
4080,63,92,0,0,0,-1,1,0,-1
4081,62,92,0,0,0,-1,0,0,-1
4082,39,92,0,0,0,-1,0,0,-1
4083,36,92,0,0,0,-1,0,0,-1
4084,50,92,0,0,0,60,0,0,-1
4085,43,92,0,0,0,-1,0,0,-1
4086,47,92,0,0,0,79,0,0,-1
4087,61,92,0,0,0,-1,0,0,-1
4088,64,92,0,0,0,60,0,0,-1
4089,65,92,1,0,0,79,0,1,-1
4090,135,92,0,0,0,-1,0,0,-1
4091,136,92,0,0,0,-1,0,0,-1
4092,137,92,0,0,0,-1,0,0,-1
4093,144,92,0,0,1,26,0,0,140
4094,141,92,1,0,0,-1,0,0,-1
4095,148,92,0,0,0,67,0,0,155
4096,147,92,1,0,0,77,0,0,153
4097,152,92,0,0,0,-1,0,0,-1
4098,160,92,0,0,0,76,0,0,156
4099,159,92,0,0,0,-1,0,0,-1
4100,158,92,0,0,0,67,0,0,146
4101,134,92,0,0,0,-1,0,0,-1
4102,140,92,0,0,0,26,0,0,-1
4103,139,92,0,0,0,-1,0,0,-1
4104,146,92,0,0,0,67,0,0,-1
4105,149,92,0,0,0,-1,0,0,-1
4106,153,92,0,0,0,77,0,0,-1
4107,658,92,0,0,0,-1,0,0,-1
4108,155,92,1,0,0,67,0,0,-1
4109,156,92,0,0,0,76,0,0,-1
4110,157,92,0,0,0,-1,0,0,-1
4111,161,92,0,0,0,-1,0,0,-1
4990,261,113,0,0,0,-1,0,0,-1
4991,704,113,1,0,0,46,0,0,267
4992,275,113,1,0,0,-1,0,0,-1
4993,269,113,0,0,0,46,0,0,268
4994,264,113,0,0,0,64,0,0,274
4995,279,113,0,0,0,64,0,0,284
4996,281,113,0,0,0,-1,1,0,-1
4997,278,113,0,0,0,-1,0,0,-1
4998,290,113,0,0,0,77,0,0,291
4999,286,113,0,0,0,-1,0,1,-1
5000,288,113,0,0,0,-1,1,1,-1
5001,263,113,0,0,0,-1,0,0,-1
5002,267,113,1,0,0,46,0,0,-1
5003,274,113,1,0,0,64,0,0,-1
5004,272,113,0,0,0,-1,0,0,-1
5005,268,113,0,0,0,46,0,0,-1
5006,283,113,0,0,0,-1,0,0,-1
5007,284,113,0,0,0,64,0,0,-1
5008,285,113,0,0,0,-1,0,0,-1
5009,705,113,0,0,0,-1,0,0,-1
5010,292,113,0,0,0,-1,0,0,-1
5011,291,113,0,0,0,77,0,0,-1
5012,135,113,0,0,0,-1,0,0,-1
5013,136,113,0,0,0,-1,0,0,-1
5014,137,113,0,0,0,-1,0,0,-1
5015,140,113,0,0,0,-1,0,0,-1
5016,141,113,1,0,0,-1,0,0,-1
5017,148,113,1,0,0,76,0,1,153
5018,151,113,0,0,0,-1,0,0,-1
5019,152,113,0,0,0,85,2,0,149
5020,160,113,1,0,0,76,1,1,147
5021,159,113,0,0,0,86,0,1,157
5022,158,113,0,0,0,67,0,0,156
5023,134,113,0,0,0,-1,0,0,-1
5024,138,113,0,0,0,-1,0,0,-1
5025,139,113,0,0,0,-1,0,0,-1
5026,658,113,0,0,0,-1,0,0,-1
5027,146,113,0,0,0,-1,0,0,-1
5028,147,113,1,0,0,76,0,0,-1
5029,153,113,0,0,0,76,0,0,-1
5030,149,113,0,0,0,85,0,0,-1
5031,157,113,0,0,0,86,0,0,-1
5032,155,113,0,0,0,-1,0,0,-1
5033,156,113,0,0,0,67,0,0,-1
6008,71,136,0,0,0,-1,0,0,-1
6009,75,136,1,0,0,-1,0,0,-1
6010,77,136,0,0,0,-1,0,0,-1
6011,79,136,0,0,0,-1,0,0,-1
6012,74,136,0,0,0,69,0,0,94
6013,81,136,0,0,0,-1,0,0,-1
6014,88,136,0,0,0,85,0,0,98
6015,83,136,0,0,0,77,0,0,85
6016,95,136,0,0,0,-1,0,0,-1
6017,97,136,0,0,0,85,0,1,724
6018,90,136,0,0,0,69,0,0,80
6019,72,136,0,0,0,-1,0,0,-1
6020,702,136,0,0,0,-1,0,0,-1
6021,80,136,0,0,0,69,0,0,-1
6022,76,136,0,0,0,-1,0,0,-1
6023,78,136,0,0,0,-1,0,0,-1
6024,85,136,0,0,0,77,0,0,-1
6025,84,136,0,0,0,-1,0,0,-1
6026,724,136,0,0,0,85,0,0,-1
6027,94,136,0,0,0,69,0,0,-1
6028,98,136,0,0,0,85,0,0,-1
6029,135,136,0,0,0,-1,0,0,-1
6030,136,136,0,0,0,-1,0,0,-1
6031,137,136,0,0,0,-1,0,0,-1
6032,140,136,0,0,0,-1,0,0,-1
6033,141,136,0,0,0,-1,0,0,-1
6034,151,136,0,0,0,-1,0,0,-1
6035,148,136,0,0,0,81,0,0,145
6036,152,136,0,0,0,90,1,0,153
6037,160,136,0,0,0,81,0,0,156
6038,159,136,0,0,0,90,0,1,155
6039,158,136,1,0,0,74,0,0,161
6040,134,136,0,0,0,-1,0,0,-1
6041,133,136,0,0,0,-1,0,0,-1
6042,139,136,0,0,0,-1,0,0,-1
6043,145,136,0,0,0,81,0,0,-1
6044,658,136,0,0,0,-1,0,0,-1
6045,146,136,0,0,0,-1,0,0,-1
6046,149,136,0,0,0,-1,0,0,-1
