nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Fran García,Toni Kroos,Defensa,Centrocampista,46,0,0,0,0
Dani Carvajal,Brahim Díaz,Defensa,Centrocampista,76,0,0,0,0
A. Tchouaméni,F. Valverde,Centrocampista,Centrocampista,80,0,0,0,0
E. Camavinga,Nacho,Centrocampista,Defensa,46,0,0,0,0
Luka Modrić,Lucas Vázquez,Centrocampista,Defensa,76,0,0,0,0
Fran García,Nacho,Defensa,Defensa,74,0,2,0,1
A. Tchouaméni,E. Camavinga,Centrocampista,Centrocampista,62,0,0,0,1
F. Valverde,Brahim Díaz,Centrocampista,Centrocampista,87,1,0,0,0
Rodrygo,Lucas Vázquez,Delantero,Defensa,87,0,0,0,0
Joselu,Luka Modrić,Delantero,Centrocampista,62,1,0,0,0
David Alaba,Lucas Vázquez,Defensa,Defensa,41,0,0,1,0
Ferland Mendy,Fran García,Defensa,Defensa,76,0,0,0,0
E. Camavinga,Toni Kroos,Centrocampista,Centrocampista,77,0,0,0,0
Brahim Díaz,Dani Ceballos,Centrocampista,Centrocampista,57,1,0,0,0
Joselu,Vinícius Júnior,Delantero,Delantero,57,1,0,0,0
Dani Carvajal,Brahim Díaz,Defensa,Centrocampista,79,0,1,0,0
E. Camavinga,Toni Kroos,Centrocampista,Centrocampista,67,0,0,0,0
Luka Modrić,Lucas Vázquez,Centrocampista,Defensa,79,0,0,0,0
J. Bellingham,Dani Ceballos,Centrocampista,Centrocampista,72,2,0,0,0
Vinícius Júnior,Rodrygo,Delantero,Delantero,72,1,1,0,0
Fran García,Toni Kroos,Defensa,Centrocampista,72,0,0,0,0
E. Camavinga,Nacho,Centrocampista,Defensa,85,0,0,0,1
Luka Modrić,Rodrygo,Centrocampista,Delantero,70,0,0,0,0
Ferland Mendy,Lucas Vázquez,Defensa,Defensa,71,0,0,0,0
Dani Carvajal,Joselu,Defensa,Delantero,82,1,0,0,0
Brahim Díaz,Fran García,Centrocampista,Defensa,71,0,0,0,0
F. Valverde,Luka Modrić,Centrocampista,Centrocampista,60,0,0,1,0
Vinícius Júnior,Nico Paz,Delantero,Centrocampista,82,2,0,0,0
Dani Carvajal,Lucas Vázquez,Defensa,Defensa,46,0,0,0,0
Brahim Díaz,Nico Paz,Centrocampista,Centrocampista,88,1,0,0,0
Rodrygo,Gonzalo García,Delantero,Delantero,85,1,0,0,0
Joselu,Dani Ceballos,Delantero,Centrocampista,70,0,0,0,0
David Alaba,Nacho,Defensa,Defensa,35,0,0,1,0
Ferland Mendy,Fran García,Defensa,Defensa,46,0,0,0,0
Toni Kroos,A. Tchouaméni,Centrocampista,Centrocampista,79,0,0,0,0
J. Bellingham,Dani Ceballos,Centrocampista,Centrocampista,78,1,0,0,1
Brahim Díaz,Joselu,Centrocampista,Delantero,84,1,0,0,0
