nombreSale,nombreEntra,posicionSale,posicionEntra,minuto,goles,asistencias,lesion,amarillas
Rubén Duarte,Rafa Marín,Defensa,Defensa,87,1,0,1,0
C. Benavidez,Antonio Blanco,Centrocampista,Centrocampista,79,0,0,0,0
Luis Rioja,M. De La Fuente,Delantero,Delantero,87,1,2,0,0
Xeber Alkain,Javi López,Delantero,Defensa,67,0,0,0,0
Kike García,Mamadou Sylla,Delantero,Delantero,79,2,0,0,0
A. Sedlar,N. Tenaglia,Defensa,Defensa,75,0,0,1,0
Antonio Blanco,C. Benavidez,Centrocampista,Centrocampista,88,0,0,0,0
Jon Guridi,Ianis Hagi,Centrocampista,Centrocampista,87,0,0,0,1
Xeber Alkain,Álex Sola,Delantero,Delantero,66,0,0,0,0
Kike García,S. Omorodion,Delantero,Delantero,75,0,0,0,0
Rubén Duarte,Jon Guridi,Defensa,Centrocampista,48,0,0,1,0
C. Benavidez,Javi López,Centrocampista,Defensa,48,0,0,0,0
Ianis Hagi,A. Rebbach,Centrocampista,Delantero,67,0,0,0,0
Luis Rioja,Xeber Alkain,Delantero,Delantero,84,0,0,0,0
Álex Sola,S. Omorodion,Delantero,Delantero,67,0,0,0,0
N. Tenaglia,S. Omorodion,Defensa,Delantero,55,0,0,0,0
Ander Guevara,J. Karrikaburu,Centrocampista,Delantero,83,0,0,0,1
Ianis Hagi,A. Gorosabel,Centrocampista,Defensa,55,0,0,0,0
Luis Rioja,Xeber Alkain,Delantero,Delantero,83,0,0,0,0
Kike García,C. Benavidez,Delantero,Centrocampista,55,0,0,0,0
Javi López,A. Rebbach,Defensa,Delantero,86,0,0,1,0
Ianis Hagi,C. Benavidez,Centrocampista,Centrocampista,73,0,0,0,0
Luis Rioja,Rubén Duarte,Delantero,Defensa,86,0,0,0,1
Álex Sola,Xeber Alkain,Delantero,Delantero,73,0,0,0,0
Kike García,S. Omorodion,Delantero,Delantero,77,0,0,0,0
A. Sedlar,Rafa Marín,Defensa,Defensa,93,1,0,1,0
A. Gorosabel,N. Tenaglia,Defensa,Defensa,83,0,0,0,1
Ianis Hagi,A. Rebbach,Centrocampista,Delantero,68,0,0,0,0
Luis Rioja,Álex Sola,Delantero,Delantero,83,0,0,0,1
Kike García,S. Omorodion,Delantero,Delantero,68,0,0,0,0
Ander Guevara,Álex Sola,Centrocampista,Delantero,69,0,0,0,1
Jon Guridi,Ianis Hagi,Centrocampista,Centrocampista,74,0,0,0,0
A. Rebbach,C. Benavidez,Delantero,Centrocampista,69,1,0,0,0
Luis Rioja,N. Tenaglia,Delantero,Defensa,90,0,1,0,0
S. Omorodion,Kike García,Delantero,Delantero,74,1,0,0,0
A. Abqar,N. Tenaglia,Defensa,Defensa,86,0,0,0,1
Antonio Blanco,Kike García,Centrocampista,Delantero,77,0,0,0,0
Ianis Hagi,Álex Sola,Centrocampista,Delantero,63,0,0,0,0
A. Rebbach,C. Benavidez,Delantero,Centrocampista,63,0,0,0,0
Luis Rioja,Unai Ropero,Delantero,Delantero,86,0,0,0,0
